ID,Nome,PopTot,Superficie,NUT
0101,AGUEDA,46163,335,REGIAO DO CENTRO
0102,ALBERGARIA-A-VELHA,24194,159,REGIAO DO CENTRO
0103,ANADIA,27437,217,REGIAO DO CENTRO
0104,AROUCA,20950,329,REGIAO DO NORTE
0105,AVEIRO,77773,198,REGIAO DO CENTRO
0106,CASTELO DE PAIVA,15623,115,REGIAO DO NORTE
0107,ESPINHO,29509,21,REGIAO DO NORTE
0108,ESTARREJA,26020,108,REGIAO DO CENTRO
0109,SANTA MARIA DA FEIRA,138569,216,REGIAO DO NORTE
0110,ILHAVO,38429,73,REGIAO DO CENTRO
0111,MEALHADA,19946,111,REGIAO DO CENTRO
0112,MURTOSA,10276,73,REGIAO DO CENTRO
0113,OLIVEIRA DE AZEMEIS,66186,161,REGIAO DO NORTE
0114,OLIVEIRA DO BAIRRO,23896,87,REGIAO DO CENTRO
0115,OVAR,54219,148,REGIAO DO CENTRO
0116,SAO JOAO DA MADEIRA,21671,8,REGIAO DO NORTE
0117,SEVER DO VOUGA,11474,130,REGIAO DO CENTRO
0118,VAGOS,22719,165,REGIAO DO CENTRO
0119,VALE DE CAMBRA,21462,147,REGIAO DO NORTE
0201,ALJUSTREL,8341,458,ALENTEJO
0202,ALMODOVAR,6780,778,ALENTEJO
0203,ALVITO,2461,265,ALENTEJO
0204,BARRANCOS,1657,168,ALENTEJO
0205,BEJA,33677,1146,ALENTEJO
0206,CASTRO VERDE,6978,569,ALENTEJO
0207,CUBA,4628,172,ALENTEJO
0208,FERREIRA DO ALENTEJO,7882,648,ALENTEJO
0209,MERTOLA,6261,1293,ALENTEJO
0210,MOURA,13839,958,ALENTEJO
0211,ODEMIRA,24681,1721,ALENTEJO
0212,OURIQUE,4694,663,ALENTEJO
0213,SERPA,14497,1106,ALENTEJO
0214,VIDIGUEIRA,5521,317,ALENTEJO
0301,AMARES,18131,82,REGIAO DO NORTE
0302,BARCELOS,116769,379,REGIAO DO NORTE
0303,BRAGA,181651,183,REGIAO DO NORTE
0304,CABECEIRAS DE BASTO,15759,242,REGIAO DO NORTE
0305,CELORICO DE BASTO,19131,181,REGIAO DO NORTE
0306,ESPOSENDE,34017,95,REGIAO DO NORTE
0307,FAFE,48424,219,REGIAO DO NORTE
0308,GUIMARAES,153043,241,REGIAO DO NORTE
0309,POVOA DE LANHOSO,21455,135,REGIAO DO NORTE
0310,TERRAS DE BOURO,6446,277,REGIAO DO NORTE
0311,VIEIRA DO MINHO,11958,216,REGIAO DO NORTE
0312,VILA NOVA DE FAMALICAO,131824,202,REGIAO DO NORTE
0313,VILA VERDE,46909,229,REGIAO DO NORTE
0314,VIZELA,23800,25,REGIAO DO NORTE
0401,ALFANDEGA DA FE,4576,322,REGIAO DO NORTE
0402,BRAGANCA,33627,1174,REGIAO DO NORTE
0403,CARRAZEDA DE ANSIAES,5707,279,REGIAO DO NORTE
0404,FREIXO DE ESPADA A CINTA,3335,244,REGIAO DO NORTE
0405,MACEDO DE CAVALEIROS,14597,699,REGIAO DO NORTE
0406,MIRANDA DO DOURO,6903,487,REGIAO DO NORTE
0407,MIRANDELA,21886,659,REGIAO DO NORTE
0408,MOGADOURO,8527,761,REGIAO DO NORTE
0409,TORRE DE MONCORVO,7757,532,REGIAO DO NORTE
0410,VILA FLOR,6100,266,REGIAO DO NORTE
0411,VIMIOSO,4081,482,REGIAO DO NORTE
0412,VINHAIS,7908,695,REGIAO DO NORTE
0501,BELMONTE,6434,119,REGIAO DO CENTRO
0502,CASTELO BRANCO,52448,1438,REGIAO DO CENTRO
0503,COVILHA,47394,556,REGIAO DO CENTRO
0504,FUNDAO,26879,700,REGIAO DO CENTRO
0505,IDANHA-A-NOVA,8259,1416,REGIAO DO CENTRO
0506,OLEIROS,5083,471,REGIAO DO CENTRO
0507,PENAMACOR,4876,564,REGIAO DO CENTRO
0508,PROENCA-A-NOVA,7448,395,REGIAO DO CENTRO
0509,SERTA,14768,447,REGIAO DO CENTRO
0510,VILA DE REI,3329,192,REGIAO DO CENTRO
0511,VILA VELHA DE RODAO,3187,330,REGIAO DO CENTRO
0601,ARGANIL,11125,333,REGIAO DO CENTRO
0602,CANTANHEDE,35208,391,REGIAO DO CENTRO
0603,COIMBRA,133940,319,REGIAO DO CENTRO
0604,CONDEIXA-A-NOVA,17590,139,REGIAO DO CENTRO
0605,FIGUEIRA DA FOZ,59130,379,REGIAO DO CENTRO
0606,GOIS,3858,263,REGIAO DO CENTRO
0607,LOUSA,17159,138,REGIAO DO CENTRO
0608,MIRA,11882,124,REGIAO DO CENTRO
0609,MIRANDA DO CORVO,12732,126,REGIAO DO CENTRO
0610,MONTEMOR-O-VELHO,25315,229,REGIAO DO CENTRO
0611,OLIVEIRA DO HOSPITAL,19448,235,REGIAO DO CENTRO
0612,PAMPILHOSA DA SERRA,4069,396,REGIAO DO CENTRO
0613,PENACOVA,13906,217,REGIAO DO CENTRO
0614,PENELA,5462,135,REGIAO DO CENTRO
0615,SOURE,17399,265,REGIAO DO CENTRO
0616,TABUA,11466,200,REGIAO DO CENTRO
0617,VILA NOVA DE POIARES,6949,84,REGIAO DO CENTRO
0701,ALANDROAL,5114,543,ALENTEJO
0702,ARRAIOLOS,6972,684,ALENTEJO
0703,BORBA,6835,145,ALENTEJO
0704,ESTREMOZ,12896,514,ALENTEJO
0705,EVORA,52664,1307,ALENTEJO
0706,MONTEMOR-O-NOVO,15841,1233,ALENTEJO
0707,MORA,4236,444,ALENTEJO
0708,MOURAO,2470,279,ALENTEJO
0709,PORTEL,5904,601,ALENTEJO
0710,REDONDO,6431,370,ALENTEJO
0711,REGUENGOS DE MONSARAZ,10082,464,ALENTEJO
0712,VENDAS NOVAS,11320,222,ALENTEJO
0713,VIANA DO ALENTEJO,5171,394,ALENTEJO
0714,VILA VICOSA,7767,195,ALENTEJO
0801,ALBUFEIRA,40974,141,ALGARVE
0802,ALCOUTIM,2281,575,ALGARVE
0803,ALJEZUR,5592,324,ALGARVE
0804,CASTRO MARIM,6305,301,ALGARVE
0805,FARO,60947,203,ALGARVE
0806,LAGOA,22751,88,ALGARVE
0807,LAGOS,30493,213,ALGARVE
0808,LOULE,68959,764,ALGARVE
0809,MONCHIQUE,5230,395,ALGARVE
0810,OLHAO,44728,131,ALGARVE
0811,PORTIMAO,55374,182,ALGARVE
0812,SAO BRAS DE ALPORTEL,10438,153,ALGARVE
0813,SILVES,36216,680,ALGARVE
0814,TAVIRA,24882,607,ALGARVE
0815,VILA DO BISPO,5158,179,ALGARVE
0816,VILA REAL DE SANTO ANTONIO,18916,61,ALGARVE
0901,AGUIAR DA BEIRA,4786,207,REGIAO DO CENTRO
